"export-plot data (NetLogo 6.4.0)"
"Ants Simple Modified.nlogo"
"03/12/2024 02:23:48:586 +0200"

"MODEL SETTINGS"
"evaporation-rate","population","diffusion-rate"
"33","100","7"

"""Plot"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"100","200","700","2930","true","""Pen""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""Pen""","true","2","2","14.9","100"

"""Pen"""
"x","y","color","pen down?"
"100","2102","14.9","true"
"100","2500","14.9","true"
"100","2404","14.9","true"
"100","2428","14.9","true"
"100","2124","14.9","true"
"100","2462","14.9","true"
"100","2473","14.9","true"
"100","2582","14.9","true"
"100","2628","14.9","true"
"100","2442","14.9","true"
"100","1578","14.9","true"
"100","2355","14.9","true"
"100","2253","14.9","true"
"100","2519","14.9","true"
"100","2059","14.9","true"
"100","2730","14.9","true"
"100","1984","14.9","true"
"100","2680","14.9","true"
"100","2735","14.9","true"
"100","2491","14.9","true"
"100","2467","14.9","true"
"100","2510","14.9","true"
"100","2805","14.9","true"
"100","2646","14.9","true"
"100","2352","14.9","true"
"100","2732","14.9","true"
"100","2733","14.9","true"
"100","2212","14.9","true"
"100","2474","14.9","true"
"100","2901","14.9","true"
"100","2762","14.9","true"
"100","2508","14.9","true"
"100","2824","14.9","true"
"100","2126","14.9","true"
"100","2196","14.9","true"
"100","2074","14.9","true"
"100","1910","14.9","true"
"100","2768","14.9","true"
"100","2554","14.9","true"
"100","2487","14.9","true"
"100","2475","14.9","true"
"100","2807","14.9","true"
"100","2297","14.9","true"
"100","2587","14.9","true"
"100","2429","14.9","true"
"100","2568","14.9","true"
"100","2578","14.9","true"
"100","2499","14.9","true"
"100","2426","14.9","true"
"100","1777","14.9","true"
"100","2383","14.9","true"
"100","2215","14.9","true"
"100","2482","14.9","true"
"100","2061","14.9","true"
