max-step-size,evaporation-rate,population,max-turn-angle,diffusion-rate,ticks
4.0,10.0,50.0,60.0,10.0,320
4.0,10.0,50.0,60.0,10.0,484
4.0,10.0,50.0,60.0,10.0,295
4.0,10.0,50.0,60.0,10.0,253
4.0,10.0,50.0,60.0,10.0,286
4.0,10.0,50.0,60.0,10.0,328
4.0,10.0,50.0,60.0,10.0,459
4.0,10.0,50.0,60.0,10.0,254
4.0,10.0,50.0,60.0,10.0,416
4.0,10.0,50.0,60.0,10.0,324
4.0,10.0,50.0,60.0,10.0,406
4.0,10.0,50.0,60.0,10.0,314
4.0,10.0,50.0,60.0,10.0,280
4.0,10.0,50.0,60.0,10.0,295
4.0,10.0,50.0,60.0,10.0,466
4.0,10.0,50.0,60.0,10.0,331
4.0,10.0,50.0,60.0,10.0,264
4.0,10.0,50.0,60.0,10.0,288
4.0,10.0,50.0,60.0,10.0,372
4.0,10.0,50.0,60.0,10.0,369
4.0,10.0,50.0,60.0,100.0,267
4.0,10.0,50.0,60.0,100.0,265
4.0,10.0,50.0,60.0,100.0,284
4.0,10.0,50.0,60.0,100.0,299
4.0,10.0,50.0,60.0,100.0,449
4.0,10.0,50.0,60.0,100.0,261
4.0,10.0,50.0,60.0,100.0,279
4.0,10.0,50.0,60.0,100.0,321
4.0,10.0,50.0,60.0,100.0,256
4.0,10.0,50.0,60.0,100.0,295
4.0,10.0,50.0,60.0,10.0,381
4.0,10.0,50.0,60.0,10.0,353
4.0,10.0,50.0,60.0,10.0,325
4.0,10.0,50.0,60.0,10.0,292
4.0,10.0,50.0,60.0,10.0,345
4.0,10.0,50.0,60.0,10.0,276
4.0,10.0,50.0,60.0,10.0,292
4.0,10.0,50.0,60.0,10.0,292
4.0,10.0,50.0,60.0,10.0,339
4.0,10.0,50.0,60.0,10.0,306
4.0,10.0,50.0,60.0,10.0,323
4.0,10.0,50.0,60.0,10.0,340
4.0,10.0,50.0,60.0,10.0,337
4.0,10.0,50.0,60.0,10.0,263
4.0,10.0,50.0,60.0,10.0,306
4.0,10.0,50.0,60.0,10.0,303
4.0,10.0,50.0,60.0,10.0,538
4.0,10.0,50.0,60.0,10.0,316
4.0,10.0,50.0,60.0,10.0,330
4.0,10.0,50.0,60.0,10.0,280
4.0,10.0,50.0,60.0,100.0,272
4.0,10.0,50.0,60.0,100.0,259
4.0,10.0,50.0,60.0,100.0,249
4.0,10.0,50.0,60.0,100.0,273
4.0,10.0,50.0,60.0,100.0,299
4.0,10.0,50.0,60.0,100.0,303
4.0,10.0,50.0,60.0,100.0,253
4.0,10.0,50.0,60.0,100.0,252
4.0,10.0,50.0,60.0,100.0,252
4.0,10.0,50.0,60.0,100.0,289
4.0,10.0,50.0,120.0,10.0,468
4.0,10.0,50.0,120.0,10.0,407
4.0,10.0,50.0,120.0,10.0,455
4.0,10.0,50.0,120.0,10.0,428
4.0,10.0,50.0,120.0,10.0,377
4.0,10.0,50.0,120.0,10.0,322
4.0,10.0,50.0,120.0,10.0,359
4.0,10.0,50.0,120.0,10.0,386
4.0,10.0,50.0,120.0,10.0,405
4.0,10.0,50.0,120.0,10.0,415
4.0,10.0,50.0,120.0,10.0,420
4.0,10.0,50.0,120.0,10.0,370
4.0,10.0,50.0,120.0,10.0,452
4.0,10.0,50.0,120.0,10.0,490
4.0,10.0,50.0,120.0,10.0,529
4.0,10.0,50.0,120.0,10.0,466
4.0,10.0,50.0,120.0,10.0,404
4.0,10.0,50.0,120.0,10.0,488
4.0,10.0,50.0,120.0,10.0,409
